channel,frequency_hz,mode,success,nfev,amplitude_m,old_amplitude_m,amplitude_change_percent,phase_change_rad,dc_m,old_dc_m,drift_m_s,drift_over_interval_m,residual_norm_m,old_residual_norm_m,residual_ratio,fitted_frequency_hz,jacobian_relative_error
deflection,499.99999999999983,parameter_only,True,1,6.241036586273013e-09,6.0065068782490075e-09,3.904594014089846,-1.2130451107891398,-2.3161100723622883e-09,-1.237503288715751e-09,0.0,0.0,1.0411872829675565e-07,1.515089463479277e-08,6.8721175089988185,499.99999999999983,4.447108889594396e-10
deflection,499.99999999999983,normalized_drift,True,12,6.014410800078197e-09,6.0065068782490075e-09,0.13158932453423144,0.0014124531158379305,-1.1107784764618853e-09,-1.237503288715751e-09,-1.2682615833485358e-08,-1.0120727435121317e-10,1.5140016887054874e-08,1.515089463479277e-08,0.9992820392458598,500.42770722258473,4.622333586946994e-10
deflection,499.99999999999983,normalized_no_drift,True,12,6.0065068915548735e-09,6.0065068782490075e-09,2.215241989844685e-07,-8.570477083580386e-08,-1.237503291340865e-09,-1.237503288715751e-09,0,0.0,1.515089463479173e-08,1.515089463479277e-08,0.9999999999999314,500.4481231043441,4.2286071103385276e-10
deflection,889.1397050194613,parameter_only,True,1,6.32266411740457e-09,5.97624938054755e-09,5.7965241207066365,-1.0693491165019688,-2.365556020320187e-09,-1.2218851644202195e-09,0.0,0.0,9.502445351576902e-08,1.4464719395122175e-08,6.569394878673788,889.1397050194613,4.1370763467629406e-10
deflection,889.1397050194613,normalized_drift,True,12,5.97698946889057e-09,5.97624938054755e-09,0.012383826307993395,3.5364876915355836e-05,-1.2097915017091513e-09,-1.2218851644202195e-09,-2.1550002738027237e-09,-9.693191231564648e-12,1.4464614375538329e-08,1.4464719395122175e-08,0.9999927396044834,890.0288447244805,4.410453070988672e-10
deflection,889.1397050194613,normalized_no_drift,True,12,5.976249380550648e-09,5.97624938054755e-09,5.182521078950231e-11,2.678013366619325e-10,-1.221885164413149e-09,-1.2218851644202195e-09,0,0.0,1.4464719395122171e-08,1.4464719395122175e-08,0.9999999999999998,890.0288447244805,4.4043219991821063e-10
deflection,1581.13883008419,parameter_only,True,1,6.20541720602448e-09,5.993299373706869e-09,3.5392497369344023,-0.8523910407140769,-2.3102091923636425e-09,-1.308566958671344e-09,0.0,0.0,7.762158896078289e-08,1.3349921242037397e-08,5.814385534827071,1581.13883008419,3.9132216877071433e-10
deflection,1581.13883008419,normalized_drift,True,11,5.999643928845421e-09,5.993299373706869e-09,0.10586080792804875,0.000523068603902832,-1.1973907355719189e-09,-1.308566958671344e-09,-3.518950972820826e-08,-8.878313304426934e-11,1.334039860613564e-08,1.3349921242037397e-08,0.9992866897317888,1582.7199689142737,4.632579002156627e-10
deflection,1581.13883008419,normalized_no_drift,True,11,5.993299373706809e-09,5.993299373706869e-09,-9.992007221626409e-13,-7.787992473140548e-12,-1.3085669586551206e-09,-1.308566958671344e-09,0,0.0,1.3349921242037392e-08,1.3349921242037397e-08,0.9999999999999997,1582.7199689142737,4.6250525700248804e-10
deflection,2811.706625951747,parameter_only,True,1,6.403688303266508e-09,6.219509797541567e-09,2.961302606159455,-0.5329671067377584,-2.7087526869302397e-09,-1.8175993933191157e-09,0.0,0.0,5.453661706674213e-08,1.3424322483744475e-08,4.062522867189802,2811.706625951747,2.872059791150883e-10
deflection,2811.706625951747,normalized_drift,True,10,6.228014989072273e-09,6.219509797541567e-09,0.13675019105312547,0.0013327625090786555,-1.6311292160507554e-09,-1.8175993933191157e-09,-1.0493861436384877e-07,-1.489078937823018e-10,1.3397677141809688e-08,1.3424322483744475e-08,0.9980151443793867,2814.5183325776975,5.02250947771164e-10
